Job_Title,Location,Salary,Monthly_Salary,Locality,State
HUMAN RESOURCES INTERNSHIP -FRESHER,"Chennai, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Engineer – Support/Operations (Trainee),"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
System Analyst,"Coimbatore, Tamil Nadu","₹8,000 - ₹12,000 a month",10000.0,Remote,Tamil Nadu
Management Trainee - Recruitment,"Hyderabad, Telangana",Not specified,19250.0,Remote,Telangana
Project Coordinator,"Mundakayam, Kerala","Up to ₹10,000 a month",19250.0,Remote,Kerala
Trainee Intern's,"Hyderabad, Telangana",Not specified,19250.0,Remote,Telangana
Internship to Job Program - JS Developer,"Delhi, Delhi","₹5,000 - ₹25,000 a month",15000.0,Remote,Delhi
Cyber Security Trainer,"Laxmi Nagar, Delhi, Delhi","₹6,00,000 a year",600000.0,Laxmi Nagar,Delhi
Site Supervisor,"Kottayam, Kerala","₹10,000 - ₹15,000 a month",12500.0,Remote,Kerala
Associate: Supply Chain Team,"Bengaluru, Karnataka","₹2,40,000 - ₹2,80,000 a year",260000.0,Remote,Karnataka
Accountant,"Sangli, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Assistant/Associate /Professors,"Pollachi, Tamil Nadu","₹30,000 - ₹1,00,000 a month",65000.0,Remote,Tamil Nadu
Branch Accountant,"Kochi, Kerala","₹12,000 - ₹18,000 a month",15000.0,Remote,Kerala
Fresher - Business Analyst,"Hyderabad, Telangana",Not specified,19250.0,Remote,Telangana
Field Officer,Arunachal Pradesh,Not specified,19250.0,Arunachal Pradesh,Arunachal Pradesh
Jewellery Sales Assistant,"Virudunagar, Tamil Nadu","From ₹15,000 a month",19250.0,Remote,Tamil Nadu
Hotel Operations Manager,"Varkkallai, Kerala","₹15,000 - ₹20,000 a month",17500.0,Remote,Kerala
Diploma Holders,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
Video Editor,Remote,"₹5,000 - ₹20,000 a month",12500.0,Remote,Remote
DEVELOPMENT QUALITY ASSURANCE,"Chennai, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
